,analysis,auc,auc_std,case,control,disease,disease_type,features,label,model_nonzero_coef,number_labels,samples,significant,study,test_size,train_size
169,AN000525_2_FSGS,0.8412698412698414,0.15713484026367724,9,21,"minimal change disease, focal segmental sclerosis",glomerular,179,v1,38,2,30,0,ST000329,10,20
170,AN000525_1_MCD,0.7427248677248678,0.10959296055862007,11,19,"minimal change disease, focal segmental sclerosis",glomerular,179,v2,15,2,30,0,ST000329,9,21
171,AN000526_0_Control,0.9259259259259259,0.10475656017578482,10,20,"minimal change disease, focal segmental sclerosis",glomerular,108,v3,2,2,30,47,ST000329,9,21
172,AN000526_2_FSGS,0.5476190476190476,0.05143444998736399,9,21,"minimal change disease, focal segmental sclerosis",glomerular,108,v4,1,2,30,0,ST000329,10,20
173,AN000526_1_MCD,0.34722222222222215,0.08561686115234685,11,19,"minimal change disease, focal segmental sclerosis",glomerular,108,v5,1,2,30,0,ST000329,9,21
174,IPO_aligned_ST000329_pos_0_Control,0.9761904761904763,0.033671751485073675,10,20,"minimal change disease, focal segmental sclerosis",glomerular,17498,v6,56,2,30,2090,ST000329,9,21
175,IPO_aligned_ST000329_pos_2_FSGS,0.761904761904762,0.10286889997472791,9,21,"minimal change disease, focal segmental sclerosis",glomerular,17498,v7,1241,2,30,0,ST000329,10,20
176,IPO_aligned_ST000329_pos_1_MCD,0.8353174603174603,0.10450154033542616,11,19,"minimal change disease, focal segmental sclerosis",glomerular,17498,v8,3581,2,30,0,ST000329,9,21
177,IPO_aligned_ST000329_neg_0_Control,1.0,0.0,10,20,"minimal change disease, focal segmental sclerosis",glomerular,6256,v9,247,2,30,510,ST000329,9,21
178,IPO_aligned_ST000329_neg_2_FSGS,0.4761904761904762,0.10286889997472795,9,21,"minimal change disease, focal segmental sclerosis",glomerular,6256,v10,2600,2,30,0,ST000329,10,20
179,IPO_aligned_ST000329_neg_1_MCD,0.6858465608465609,0.1347292189210008,11,19,"minimal change disease, focal segmental sclerosis",glomerular,6256,v11,86,2,30,0,ST000329,9,21
180,AN000580,0.9876581196581197,0.012760367942996998,135,76,Breast Cancer,cancer,128,w0,10,2,211,51,ST000355,70,141
181,AN000581,0.9685470085470085,0.021419360479155637,135,76,Breast Cancer,cancer,99,w1,14,2,211,47,ST000355,70,141
182,AN000582,0.9931372549019608,0.009705387192756551,103,31,Breast Cancer,cancer,101,x0,2,2,134,70,ST000356,44,90
183,AN000583,0.9923860453272217,0.007404678000105023,103,31,Breast Cancer,cancer,171,x1,1,2,134,110,ST000356,44,90
184,AN000615,0.5064977257959714,0.025913627813657258,56,36,interstitial cystitis/painful bladder syndrome,other,200,y0,10,2,92,0,ST000381,30,62
185,AN000616,0.7160087719298246,0.144944362129976,58,36,interstitial cystitis/painful bladder syndrome,other,1280,y1,1054,2,94,0,ST000381,31,63
186,AN000617,0.4925438596491228,0.01678551041845934,58,36,interstitial cystitis/painful bladder syndrome,other,678,y2,0,2,94,0,ST000381,31,63
187,IPO_aligned_ST000381_pos,0.49228395061728397,0.010912141684977608,56,36,interstitial cystitis/painful bladder syndrome,other,2633,y3,16,2,92,0,ST000381,30,62
188,AN000618,0.9444444444444445,0.03928371006591927,44,12,Obesity - Non-diabetic and T2 diabetic,metabolic,106,z0,3,2,56,15,ST000383,18,38
189,AN000603_plasma,0.6887121212121213,0.045779269390945704,47,32,lung cancer - adenocarcinoma,cancer,181,A0,181,2,79,6,ST000385,25,54
190,AN000603_serum,0.7024621212121213,0.07829143199706204,48,31,lung cancer - adenocarcinoma,cancer,181,A1,173,2,79,0,ST000385,26,53
191,AN000620_plasma,0.8333257747543463,0.07170841134296731,43,43,lung cancer - adenocarcinoma,cancer,152,A2,9,2,86,19,ST000385,28,58
192,AN000620_serum,0.7282086167800456,0.08199965373684015,43,43,lung cancer - adenocarcinoma,cancer,152,A3,7,2,86,19,ST000385,28,58
193,IPO_aligned_ST000385_adc2_plasma,0.6559343434343435,0.049299047993319814,47,32,lung cancer - adenocarcinoma,cancer,1506,A4,1436,2,79,0,ST000385,25,54
194,IPO_aligned_ST000385_adc2_serum,0.5214015151515151,0.06375518758489622,48,31,lung cancer - adenocarcinoma,cancer,987,A5,35,2,79,0,ST000385,26,53
195,IPO_aligned_ST000385_adc1_plasma,0.7940967498110355,0.031260515439287734,43,43,lung cancer - adenocarcinoma,cancer,2558,A6,17,2,86,76,ST000385,28,58
196,IPO_aligned_ST000385_adc1_serum,0.8074829931972789,0.10843994049740506,43,43,lung cancer - adenocarcinoma,cancer,1842,A7,18,2,86,48,ST000385,28,58
197,AN000624_LC,0.48636363636363633,0.01928473039599677,65,29,Lung cancer,cancer,988,B0,0,2,94,0,ST000388,30,64
198,IPO_aligned_ST000388_LC,0.666955266955267,0.0346795009011716,65,29,Lung cancer,cancer,43044,B1,196,2,94,0,ST000388,30,64
199,AN000625_GC,0.5654882154882156,0.01476691061251745,65,29,Lung cancer,cancer,129,C0,125,2,94,0,ST000389,30,64
200,IPO_aligned_ST000388_GC,0.6887926887926888,0.07643273967545938,65,29,Lung cancer,cancer,1984,C1,1971,2,94,0,ST000389,30,64
201,AN000628_plasma,0.8183794227750272,0.033452609366581045,41,41,Lung cancer,cancer,158,D0,157,2,82,25,ST000392,26,56
202,AN000628_serum,0.594312281125468,0.07162479369385932,41,41,Lung cancer,cancer,158,D1,25,2,82,11,ST000392,26,56
203,IPO_aligned_ST000392_plasma,0.6446483919011392,0.07282202503894446,41,41,Lung cancer,cancer,1966,D2,1686,2,82,25,ST000392,26,56
204,IPO_aligned_ST000392_serum,0.6018697419796321,0.07319409781988773,41,41,Lung cancer,cancer,701,D3,10,2,82,0,ST000392,26,56
205,AN000633,0.5556320783593511,0.03972454927489485,100,199,"lung cancer - non-small-cell lung cancer (adenocarcinoma, etc)",cancer,129,E0,129,2,299,0,ST000396,99,200
206,IPO_aligned_ST000396,0.5063905611036268,0.0170384996195585,100,199,"lung cancer - non-small-cell lung cancer (adenocarcinoma, etc)",cancer,796,E1,792,2,299,0,ST000396,99,200
207,AN000705,0.8991452991452991,0.023809210730229315,45,39,Chronic fatigue,other,215,F0,212,2,84,40,ST000450,28,56
208,AN000706,0.7658119658119658,0.07207920903353171,45,39,Chronic fatigue,other,206,F1,206,2,84,0,ST000450,28,56
209,AN000888,0.9986772486772487,0.001870652860281865,214,20,Malaria (P. vivax),infectious,20347,G0,693,2,234,4254,ST000578,77,157
210,AN000889,0.9886914077054922,0.008334597540516861,214,20,Malaria (P. vivax),infectious,16796,G1,356,2,234,3702,ST000578,77,157
211,IPO_aligned_ST000578_AE,0.9969818913480886,0.0029616904313641405,214,20,Malaria (P. vivax),infectious,8473,G2,97,2,234,5260,ST000578,77,157
212,IPO_aligned_ST000578_C18,1.0,0.0,214,20,Malaria (P. vivax),infectious,20666,G3,561,2,234,8641,ST000578,77,157
213,AN000929,0.9259259259259259,0.10475656017578482,10,10,Stability of dried blood samples - diabetic men,metabolic,263,H0,4,2,20,36,ST000608,6,14
214,AN000930,0.9259259259259259,0.10475656017578482,10,10,Stability of dried blood samples - diabetic men,metabolic,73,H1,73,2,20,0,ST000608,6,14
215,AN000931,0.8009259259259259,0.15396564026218418,10,10,Stability of dried blood samples - diabetic men,metabolic,86,H2,84,2,20,0,ST000608,6,14
216,AN001201_0_Healthy,0.8500810185185186,0.0437062569140024,74,144,scleroderma PAH,autoimmune,138,I0,22,2,218,39,ST000763,72,146
217,AN001201_4_PAH,0.6188034188034188,0.01964882723516693,38,180,scleroderma PAH,autoimmune,138,I1,138,2,218,15,ST000763,72,146
218,AN001201_1_LowRisk,0.5919266557197592,0.03693013918788735,44,174,scleroderma PAH,autoimmune,138,I2,14,2,218,1,ST000763,72,146
219,AN001201_2_Normal Pressures,0.7317219817219817,0.07713667958729963,20,198,scleroderma PAH,autoimmune,138,I3,46,2,218,6,ST000763,72,146
220,AN001201_3_Borderline Pressures,0.6413960090172831,0.04616631814677669,42,176,scleroderma PAH,autoimmune,138,I4,50,2,218,18,ST000763,72,146
221,AN001202_0_Healthy,0.8131481481481481,0.07073407472955572,74,144,scleroderma PAH,autoimmune,133,I5,22,2,218,29,ST000763,72,146
222,AN001202_4_PAH,0.7680199430199431,0.02719324342640987,38,180,scleroderma PAH,autoimmune,133,I6,14,2,218,7,ST000763,72,146
223,AN001202_1_LowRisk,0.6584564860426929,0.0833890333990044,44,174,scleroderma PAH,autoimmune,133,I7,20,2,218,1,ST000763,72,146
224,AN001202_2_Normal Pressures,0.6121933621933623,0.07948141807655623,20,198,scleroderma PAH,autoimmune,133,I8,14,2,218,13,ST000763,72,146
225,AN001202_3_Borderline Pressures,0.67489076285102,0.06872247923736084,42,176,scleroderma PAH,autoimmune,133,I9,133,2,218,5,ST000763,72,146
226,IPO_aligned_ST000763_untar_neg_0_Healthy,0.8765393518518518,0.03657202657770944,74,144,scleroderma PAH,autoimmune,28580,I10,25169,2,218,8936,ST000763,72,146
227,IPO_aligned_ST000763_untar_neg_4_PAH,0.7740384615384616,0.06355912810701785,38,180,scleroderma PAH,autoimmune,28580,I11,14015,2,218,3339,ST000763,72,146
228,IPO_aligned_ST000763_untar_neg_1_LowRisk,0.8197591680350301,0.05020610297581072,44,174,scleroderma PAH,autoimmune,28580,I12,1530,2,218,214,ST000763,72,146
229,IPO_aligned_ST000763_untar_neg_2_Normal Pressures,0.8186628186628186,0.056068028989296595,20,198,scleroderma PAH,autoimmune,28580,I13,4204,2,218,565,ST000763,72,146
230,IPO_aligned_ST000763_untar_neg_3_Borderline Pressures,0.7384222537641593,0.028596234495737515,42,176,scleroderma PAH,autoimmune,28580,I14,22996,2,218,1713,ST000763,72,146
231,IPO_aligned_ST000763_untar_pos_0_Healthy,0.881840277777778,0.06707644964106715,74,144,scleroderma PAH,autoimmune,28673,I15,2433,2,218,9844,ST000763,72,146
232,IPO_aligned_ST000763_untar_pos_4_PAH,0.806445868945869,0.05132390366401019,38,180,scleroderma PAH,autoimmune,28673,I16,23484,2,218,6055,ST000763,72,146
233,IPO_aligned_ST000763_untar_pos_1_LowRisk,0.85727969348659,0.06676293309412983,44,174,scleroderma PAH,autoimmune,28673,I17,5098,2,218,962,ST000763,72,146
234,IPO_aligned_ST000763_untar_pos_2_Normal Pressures,0.664983164983165,0.21981143089494232,20,198,scleroderma PAH,autoimmune,28673,I18,4155,2,218,370,ST000763,72,146
235,IPO_aligned_ST000763_untar_pos_3_Borderline Pressures,0.8015988978876178,0.010597669984540859,42,176,scleroderma PAH,autoimmune,28673,I19,2811,2,218,2348,ST000763,72,146
236,AN001390all_author,0.6493284493284494,0.07651226620462831,40,44,Hepatocellular Carcinoma,cancer,56,J0,56,2,84,0,ST000865,27,57
237,IPO_aligned_ST000865_batch2_raw,0.6507936507936508,0.0682724227543066,19,22,Hepatocellular Carcinoma,cancer,1949,J1,1586,2,41,0,ST000865,13,28
238,IPO_aligned_ST000865_batch3_raw,0.489795918367347,0.014430750636460144,21,22,Hepatocellular Carcinoma,cancer,1886,J2,1848,2,43,0,ST000865,14,29
239,IPO_aligned_ST000865_onebatch,0.523931623931624,0.11725897161266212,40,44,Hepatocellular Carcinoma,cancer,754,J3,683,2,84,0,ST000865,27,57
240,AN001450,0.9870573384826568,0.006394861025110009,202,190,Lyme disease,infectious,95,K0,95,2,392,87,ST000888,130,262
241,AN001503,0.7530041152263375,0.057770156485613185,29,29,Breast cancer,cancer,77,L0,77,2,58,13,ST000918,18,40
